topic precision recall f1
101 0.30434782608695654 1.0 0.4666666666666667
102 0.678391959798995 1.0 0.8083832335329342
103 0.21875 1.0 0.358974358974359
104 0.6185567010309279 1.0 0.7643312101910829
105 0.43243243243243246 1.0 0.6037735849056604
106 0.09090909090909091 1.0 0.16666666666666669
107 0.04918032786885246 1.0 0.09375
108 0.05660377358490566 1.0 0.10714285714285715
109 0.5 1.0 0.6666666666666666
110 0.054945054945054944 1.0 0.10416666666666666
111 0.057692307692307696 1.0 0.1090909090909091
112 0.10526315789473684 1.0 0.1904761904761905
113 0.17647058823529413 1.0 0.3
114 0.2 1.0 0.33333333333333337
115 0.06521739130434782 1.0 0.12244897959183672
116 0.34782608695652173 1.0 0.5161290322580645
117 0.23076923076923078 1.0 0.375
118 0.09375 1.0 0.17142857142857143
119 0.15384615384615385 1.0 0.2666666666666667
120 0.16666666666666666 1.0 0.2857142857142857
121 0.1728395061728395 1.0 0.2947368421052632
122 0.21428571428571427 1.0 0.35294117647058826
123 0.058823529411764705 1.0 0.1111111111111111
124 0.18181818181818182 1.0 0.3076923076923077
125 0.3333333333333333 1.0 0.5
126 0.6551724137931034 1.0 0.7916666666666666
127 0.15625 1.0 0.2702702702702703
128 0.0784313725490196 1.0 0.14545454545454545
129 0.2361111111111111 1.0 0.38202247191011235
130 0.125 1.0 0.2222222222222222
131 0.12903225806451613 1.0 0.2285714285714286
132 0.06796116504854369 1.0 0.12727272727272726
133 0.10638297872340426 1.0 0.1923076923076923
134 0.16129032258064516 1.0 0.27777777777777773
135 0.4827586206896552 1.0 0.6511627906976745
136 0.17391304347826086 1.0 0.29629629629629634
137 0.06 1.0 0.11320754716981131
138 0.07142857142857142 1.0 0.13333333333333333
139 0.14285714285714285 1.0 0.25
140 0.1864406779661017 1.0 0.3142857142857143
141 0.42857142857142855 1.0 0.6
142 0.14285714285714285 1.0 0.25
143 0.07692307692307693 1.0 0.14285714285714288
144 0.12 1.0 0.21428571428571425
145 0.05263157894736842 1.0 0.1
146 0.40625 1.0 0.5777777777777777
147 0.0967741935483871 1.0 0.17647058823529413
148 0.36363636363636365 1.0 0.5333333333333333
149 0.19230769230769232 1.0 0.32258064516129037
150 0.0784313725490196 1.0 0.14545454545454545
